,ID,Sex,Age,Weight,Color,Breed,Intake Jurisdiction,Intake Date,link
1,A1086965,M,9 Years,84.2 LBS,GRAY WHITE,ALASK MALAMUTE MIX,HUNTINGTON BCH,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1086965
2,A1571195,M,2 Years,50.4 LBS,WHITE,ALASKAN HUSKY,CYPRESS,4/16/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571195
3,A1569453,N,6 Years,60.0 LBS,BLUE MERLE,AUST CATTLE DOG,HUNTINGTON BCH,4/4/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1569453
4,A1507288,S,2 Years,,TRICOLOR,BEAGLE,ANAHEIM,4/18/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1507288
5,A1569513,F,3 Years,15.0 LBS,BLACK WHITE,BEAGLE MIX,SANTA ANA,4/4/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1569513
6,A1569514,F,4 Weeks,2.3 LBS,TAN,BEAGLE MIX,SANTA ANA,4/4/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1569514
7,A1569516,M,4 Weeks,2.8 LBS,BROWN,BEAGLE MIX,SANTA ANA,4/4/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1569516
8,A1569517,M,4 Weeks,1.9 LBS,WHITE,BEAGLE MIX,SANTA ANA,4/4/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1569517
9,A1569518,M,4 Weeks,2.5 LBS,BLONDE,BEAGLE MIX,SANTA ANA,4/4/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1569518
10,A1571295,M,4 Years,58.0 LBS,WHITE BLACK,BEAGLE MIX,ANAHEIM,4/16/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571295
11,A1571506,N,3 Years,26.0 LBS,RED WHITE,BORDER TERRIER,LAKE FOREST,4/18/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571506
12,A1571719,F,6 Years,60.4 LBS,WHITE BR BRINDLE,BULL TERRIER,TUSTIN,4/19/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571719
13,A1571920,M,3 Years,17.1 LBS,BLACK WHITE,CAIRN TERRIER,SANTA ANA,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571920
14,A1571853,M,2 Years,11.3 LBS,BLACK TAN,CHIHUAHUA LH,SANTA ANA,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571853
15,A1571799,F,4 Years,8.7 LBS,RED,CHIHUAHUA SH,SANTA ANA,4/19/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571799
16,A1571514,F,6 Months,8.2 LBS,BLONDE WHITE,CHIHUAHUA SH,TUSTIN,4/18/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571514
17,A1571533,F,10 Years,6.7 LBS,BROWN TAN,CHIHUAHUA SH,SANTA ANA,4/18/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571533
18,A1571539,M,6 Years,9.3 LBS,BLACK BROWN,CHIHUAHUA SH,SANTA ANA,4/18/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571539
19,A1571219,F,3 Years,11.9 LBS,RED WHITE,CHIHUAHUA SH,SANTA ANA,4/16/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571219
20,A1571368,M,3 Years,12.0 LBS,YELLOW,CHIHUAHUA SH,FULLERTON,4/17/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571368
21,A1571396,M,1 Year,,BLONDE WHITE,CHIHUAHUA SH,SANTA ANA,4/17/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571396
22,A1485437,N,6 Years,14.0 LBS,WHITE TAN,CHIHUAHUA SH,ANAHEIM,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1485437
23,A1571982,M,4 Years,,BLACK,CHIHUAHUA SH,ORANGE CO,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571982
24,A1572090,N,4 Years,8.8 LBS,TAN WHITE,CHIHUAHUA SH,VILLA PARK,4/21/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1572090
25,A1571603,M,2 Years,,WHITE,CHIHUAHUA SH DACHSHUND,SANTA ANA,4/18/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571603
26,A1571605,F,4 Years,10.0 LBS,GRAY WHITE,CHIHUAHUA SH MIX,LAKE FOREST,4/18/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571605
27,A1571455,N,4 Years,15.4 LBS,BROWN WHITE,CHIHUAHUA SH MIX,CYPRESS,4/17/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571455
28,A1571927,M,7 Years,9.5 LBS,CHOCOLATE TAN,CHIHUAHUA SH MIX,ANAHEIM,4/20/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1571927
29,A1560750,M,3 Years,13.3 LBS,RED,CHIHUAHUA SH MIX,SANTA ANA CO,1/29/2018,http://petadoption.ocpetinfo.com/rescuetrack/servicethumb.php?tab=lost&detailid=A1560750
