Pet_ID,Sex,Age,Weight,Color,Breed,Intake_Jurisdiction,Intake_Date
A1569847,M  ,1 Year  ,47.0 LBS  ,BLACK WHITE  ,AM PIT BULL TER  ,ANAHEIM  ,4/6/2018  
A1061218,F  ,7 Year  ,42.2 LBS  ,RED TICK  ,AUST CATTLE DOG  ,YORBA LINDA  ,3/10/2018  
A1569453,N  ,6 Years  ,60.0 LBS  ,BLUE MERLE  ,AUST CATTLE DOG  ,HUNTINGTON BCH  ,4/4/2018  
A1569540,F  ,10 Months  ,30.5 LBS  ,BLACK WHITE  ,BORDER COLLIE  ,ANAHEIM  ,4/4/2018  
A1570233,M  ,2 Months  ,9.6 LBS  ,BRN/WHT BLACK  ,BOXER  ,MIDWAY CITY  ,4/9/2018  
A1564440,M  ,3 Years  ,67.0 LBS  ,BLACK WHITE  ,BOXER MIX  ,ANAHEIM  ,2/25/2018  
A1567514,M  ,1 Year 1 Month  ,13.0 LBS  ,BLACK WHITE  ,CAIRN TERRIER  ,SANTA ANA  ,3/21/2018  
A1569967,F  ,1 Year 6 Months  ,9.6 LBS  ,BLACK  ,CAIRN TERRIER  ,ORANGE  ,4/7/2018  
A1570198,F  ,5 Months  ,0,WHITE TAN  ,CAIRN TERRIER MIX  ,SANTA ANA  ,4/8/2018  
A1570433,M  ,2 Years  ,12.5 LBS  ,TRICOLOR  ,CHIHUAHUA SH  ,SANTA ANA  ,4/10/2018  
A1567091,M  ,9 Months  ,6.4 LBS  ,BLACK  ,CHIHUAHUA SH  ,ANAHEIM  ,3/19/2018  
A1569513,F  ,3 Years  ,12.9 LBS  ,BLACK WHITE  ,CHIHUAHUA SH MIX  ,SANTA ANA  ,4/4/2018  
A1569514,F  ,21D  ,1.0 LBS  ,TAN  ,CHIHUAHUA SH MIX  ,SANTA ANA  ,4/4/2018  
A1569516,M  ,21D  ,1.0 LBS  ,BROWN  ,CHIHUAHUA SH MIX  ,SANTA ANA  ,4/4/2018  
A1569517,M  ,21D  ,1.0 LBS  ,WHITE  ,CHIHUAHUA SH MIX  ,SANTA ANA  ,4/4/2018  
A1569518,M  ,21D  ,1.0 LBS  ,BLONDE  ,CHIHUAHUA SH MIX  ,SANTA ANA  ,4/4/2018  
A1568373,F  ,8 Years  ,10.5 LBS  ,BLACK  ,CHIHUAHUA SH MIX  ,ANAHEIM  ,3/27/2018  
A1560750,M  ,3 Years  ,13.3 LBS  ,RED  ,CHIHUAHUA SH MIX  ,SANTA ANA CO  ,1/29/2018  
A1570270,M  ,2 Years  ,15.2 LBS  ,RED WHITE  ,CHIHUAHUA SH MIX  ,ANAHEIM  ,4/9/2018  
A1570264,M  ,3 Years  ,40.0 LBS  ,FAWN  ,CHINESE SHARPEI  ,FULLERTON  ,4/9/2018  
A1570265,F  ,5 Years  ,47.5 LBS  ,WHITE TAN  ,CHINESE SHARPEI  ,FULLERTON  ,4/9/2018  
A1464021,S  ,5 Years  ,18.0 LBS  ,BUFF  ,COCKER SPAN  ,ORANGE  ,4/7/2018  
A1566935,M  ,3 Years  ,20.3 LBS  ,BROWN WHITE  ,DACHSHUND LH CHIHUAHUA SH  ,ANAHEIM  ,3/17/2018  
A1570105,M  ,1 Year 6 Months  ,16.2 LBS  ,WHITE BLACK  ,DACHSHUND WH CAIRN TERRIER  ,ORANGE  ,4/7/2018  
A1570493,M  ,2 Years  ,0,WHITE BROWN  ,GERM SH POINT  ,LAKE FOREST  ,4/10/2018  
A1566279,M  ,6 Years  ,81.0 LBS  ,BROWN BLACK  ,GERM SHEPHERD  ,ORANGE  ,3/12/2018  
A1567904,S  ,4 Years  ,88.0 LBS  ,BLACK TAN  ,GERM SHEPHERD  ,FULLERTON  ,4/5/2018  
A1566721,S  ,1 Year 7 Months  ,63.0 LBS  ,RED BLACK  ,GERM SHEPHERD LABRADOR RETR  ,ANAHEIM  ,4/1/2018  
A1570336,M  ,1 Year  ,62.0 LBS  ,BLACK TAN  ,GERM SHEPHERD MIX  ,OUT OF JURISDIC  ,4/9/2018  
A1570380,F  ,2 Years  ,63.0 LBS  ,BR BRINDLE  ,LABRADOR RETR  ,ANAHEIM  ,4/10/2018  
A1476015,F  ,7 Years  ,69.6 LBS  ,BR BRINDLE WHITE  ,LABRADOR RETR MIX  ,HUNTINGTON BCH  ,2/8/2018  
A1569976,F  ,2 Years  ,10.1 LBS  ,RED BLACK  ,LHASA APSO POODLE MIN  ,FULLERTON  ,4/7/2018  
A1570429,F  ,3 Years  ,21.6 LBS  ,WHITE  ,MALTESE POODLE MIN  ,SANTA ANA  ,4/10/2018  
A1565084,F  ,4 Years  ,12.0 LBS  ,BLACK BROWN  ,MIN PINSCHER  ,SANTA ANA  ,3/2/2018  
A1570214,M  ,10 Years  ,10.4 LBS  ,BLACK BROWN  ,PEKINGESE MIX  ,ORANGE CO  ,4/9/2018  
