,breed,characteristic,rating
0,Affenpinscher,Adapts Well to Apartment Living,5
1,Affenpinscher,Good For Novice Owners,4
2,Affenpinscher,Sensitivity Level,3
3,Affenpinscher,Tolerates Being Alone,1
4,Affenpinscher,Tolerates Cold Weather,3
5,Affenpinscher,Tolerates Hot Weather,3
6,Affenpinscher,Affectionate with Family,5
7,Affenpinscher,Incredibly Kid Friendly Dogs,1
8,Affenpinscher,Dog Friendly,4
9,Affenpinscher,Friendly Toward Strangers,3
10,Affenpinscher,Amount Of Shedding,1
11,Affenpinscher,Drooling Potential,1
12,Affenpinscher,Easy To Groom,3
13,Affenpinscher,General Health,4
14,Affenpinscher,Potential For Weight Gain,3
15,Affenpinscher,Size,1
16,Affenpinscher,Easy To Train,2
17,Affenpinscher,Intelligence,4
18,Affenpinscher,Potential For Mouthiness,4
19,Affenpinscher,Prey Drive,3
20,Affenpinscher,Tendency To Bark Or Howl,2
21,Affenpinscher,Wanderlust Potential,2
22,Affenpinscher,Energy Level,4
23,Affenpinscher,Intensity,3
24,Affenpinscher,Exercise Needs,3
25,Affenpinscher,Potential For Playfulness,4
26,Afghan Hound,Adapts Well to Apartment Living,5
27,Afghan Hound,Good For Novice Owners,3
28,Afghan Hound,Sensitivity Level,5
29,Afghan Hound,Tolerates Being Alone,2
30,Afghan Hound,Tolerates Cold Weather,5
31,Afghan Hound,Tolerates Hot Weather,5
32,Afghan Hound,Affectionate with Family,5
33,Afghan Hound,Incredibly Kid Friendly Dogs,5
34,Afghan Hound,Dog Friendly,4
35,Afghan Hound,Friendly Toward Strangers,2
36,Afghan Hound,Amount Of Shedding,4
37,Afghan Hound,Drooling Potential,1
38,Afghan Hound,Easy To Groom,1
39,Afghan Hound,General Health,3
40,Afghan Hound,Potential For Weight Gain,1
41,Afghan Hound,Size,4
42,Afghan Hound,Easy To Train,1
43,Afghan Hound,Intelligence,4
44,Afghan Hound,Potential For Mouthiness,3
45,Afghan Hound,Prey Drive,5
46,Afghan Hound,Tendency To Bark Or Howl,2
47,Afghan Hound,Wanderlust Potential,5
48,Afghan Hound,Energy Level,5
49,Afghan Hound,Intensity,2
50,Afghan Hound,Exercise Needs,4
51,Afghan Hound,Potential For Playfulness,4
52,Airedale Terrier,Adapts Well to Apartment Living,1
53,Airedale Terrier,Good For Novice Owners,2
54,Airedale Terrier,Sensitivity Level,3
55,Airedale Terrier,Tolerates Being Alone,2
56,Airedale Terrier,Tolerates Cold Weather,3
57,Airedale Terrier,Tolerates Hot Weather,3
58,Airedale Terrier,Affectionate with Family,4
59,Airedale Terrier,Incredibly Kid Friendly Dogs,4
60,Airedale Terrier,Dog Friendly,4
61,Airedale Terrier,Friendly Toward Strangers,3
62,Airedale Terrier,Amount Of Shedding,2
63,Airedale Terrier,Drooling Potential,1
64,Airedale Terrier,Easy To Groom,2
65,Airedale Terrier,General Health,3
66,Airedale Terrier,Potential For Weight Gain,4
67,Airedale Terrier,Size,3
68,Airedale Terrier,Easy To Train,4
69,Airedale Terrier,Intelligence,5
70,Airedale Terrier,Potential For Mouthiness,5
71,Airedale Terrier,Prey Drive,5
72,Airedale Terrier,Tendency To Bark Or Howl,4
73,Airedale Terrier,Wanderlust Potential,4
74,Airedale Terrier,Energy Level,5
75,Airedale Terrier,Intensity,3
76,Airedale Terrier,Exercise Needs,5
77,Airedale Terrier,Potential For Playfulness,5
78,Akita,Adapts Well to Apartment Living,2
79,Akita,Good For Novice Owners,2
80,Akita,Sensitivity Level,5
81,Akita,Tolerates Being Alone,1
82,Akita,Tolerates Cold Weather,5
83,Akita,Tolerates Hot Weather,2
84,Akita,Affectionate with Family,5
85,Akita,Incredibly Kid Friendly Dogs,1
86,Akita,Dog Friendly,1
87,Akita,Friendly Toward Strangers,2
88,Akita,Amount Of Shedding,5
89,Akita,Drooling Potential,5
90,Akita,Easy To Groom,1
91,Akita,General Health,4
92,Akita,Potential For Weight Gain,4
93,Akita,Size,4
94,Akita,Easy To Train,2
95,Akita,Intelligence,3
96,Akita,Potential For Mouthiness,3
97,Akita,Prey Drive,4
98,Akita,Tendency To Bark Or Howl,5
99,Akita,Wanderlust Potential,4
100,Akita,Energy Level,4
101,Akita,Intensity,3
102,Akita,Exercise Needs,4
103,Akita,Potential For Playfulness,5
104,Alaskan Klee Kai,Adapts Well to Apartment Living,3
105,Alaskan Klee Kai,Good For Novice Owners,2
106,Alaskan Klee Kai,Sensitivity Level,4
107,Alaskan Klee Kai,Tolerates Being Alone,2
108,Alaskan Klee Kai,Tolerates Cold Weather,5
109,Alaskan Klee Kai,Tolerates Hot Weather,2
110,Alaskan Klee Kai,Affectionate with Family,4
111,Alaskan Klee Kai,Incredibly Kid Friendly Dogs,3
112,Alaskan Klee Kai,Dog Friendly,2
113,Alaskan Klee Kai,Friendly Toward Strangers,2
114,Alaskan Klee Kai,Amount Of Shedding,4
115,Alaskan Klee Kai,Drooling Potential,2
116,Alaskan Klee Kai,Easy To Groom,4
117,Alaskan Klee Kai,General Health,4
118,Alaskan Klee Kai,Potential For Weight Gain,2
119,Alaskan Klee Kai,Size,2
120,Alaskan Klee Kai,Easy To Train,4
121,Alaskan Klee Kai,Intelligence,4
122,Alaskan Klee Kai,Potential For Mouthiness,2
123,Alaskan Klee Kai,Prey Drive,5
124,Alaskan Klee Kai,Tendency To Bark Or Howl,3
125,Alaskan Klee Kai,Wanderlust Potential,4
126,Alaskan Klee Kai,Energy Level,4
127,Alaskan Klee Kai,Intensity,2
128,Alaskan Klee Kai,Exercise Needs,4
129,Alaskan Klee Kai,Potential For Playfulness,4
130,Alaskan Malamute,Adapts Well to Apartment Living,1
131,Alaskan Malamute,Good For Novice Owners,1
132,Alaskan Malamute,Sensitivity Level,4
133,Alaskan Malamute,Tolerates Being Alone,1
134,Alaskan Malamute,Tolerates Cold Weather,5
135,Alaskan Malamute,Tolerates Hot Weather,2
136,Alaskan Malamute,Affectionate with Family,4
137,Alaskan Malamute,Incredibly Kid Friendly Dogs,3
138,Alaskan Malamute,Dog Friendly,2
139,Alaskan Malamute,Friendly Toward Strangers,5
140,Alaskan Malamute,Amount Of Shedding,5
141,Alaskan Malamute,Drooling Potential,1
142,Alaskan Malamute,Easy To Groom,1
143,Alaskan Malamute,General Health,4
144,Alaskan Malamute,Potential For Weight Gain,3
145,Alaskan Malamute,Size,4
146,Alaskan Malamute,Easy To Train,4
147,Alaskan Malamute,Intelligence,4
148,Alaskan Malamute,Potential For Mouthiness,3
149,Alaskan Malamute,Prey Drive,4
150,Alaskan Malamute,Tendency To Bark Or Howl,5
151,Alaskan Malamute,Wanderlust Potential,5
152,Alaskan Malamute,Energy Level,5
153,Alaskan Malamute,Intensity,5
154,Alaskan Malamute,Exercise Needs,5
155,Alaskan Malamute,Potential For Playfulness,5
156,American Bulldog,Adapts Well to Apartment Living,1
157,American Bulldog,Good For Novice Owners,1
158,American Bulldog,Sensitivity Level,4
159,American Bulldog,Tolerates Being Alone,1
160,American Bulldog,Tolerates Cold Weather,2
161,American Bulldog,Tolerates Hot Weather,2
162,American Bulldog,Affectionate with Family,5
163,American Bulldog,Incredibly Kid Friendly Dogs,4
164,American Bulldog,Dog Friendly,2
165,American Bulldog,Friendly Toward Strangers,2
166,American Bulldog,Amount Of Shedding,1
167,American Bulldog,Drooling Potential,4
168,American Bulldog,Easy To Groom,4
169,American Bulldog,General Health,3
170,American Bulldog,Potential For Weight Gain,2
171,American Bulldog,Size,4
172,American Bulldog,Easy To Train,4
173,American Bulldog,Intelligence,3
174,American Bulldog,Potential For Mouthiness,2
175,American Bulldog,Prey Drive,4
176,American Bulldog,Tendency To Bark Or Howl,2
177,American Bulldog,Wanderlust Potential,3
178,American Bulldog,Energy Level,4
179,American Bulldog,Intensity,4
180,American Bulldog,Exercise Needs,4
181,American Bulldog,Potential For Playfulness,4
182,American English Coonhound,Adapts Well to Apartment Living,1
183,American English Coonhound,Good For Novice Owners,2
184,American English Coonhound,Sensitivity Level,5
185,American English Coonhound,Tolerates Being Alone,2
186,American English Coonhound,Tolerates Cold Weather,4
187,American English Coonhound,Tolerates Hot Weather,4
188,American English Coonhound,Affectionate with Family,5
189,American English Coonhound,Incredibly Kid Friendly Dogs,5
190,American English Coonhound,Dog Friendly,4
191,American English Coonhound,Friendly Toward Strangers,5
192,American English Coonhound,Amount Of Shedding,3
193,American English Coonhound,Drooling Potential,1
194,American English Coonhound,Easy To Groom,5
195,American English Coonhound,General Health,4
196,American English Coonhound,Potential For Weight Gain,3
197,American English Coonhound,Size,3
198,American English Coonhound,Easy To Train,5
199,American English Coonhound,Intelligence,4
200,American English Coonhound,Potential For Mouthiness,3
201,American English Coonhound,Prey Drive,5
202,American English Coonhound,Tendency To Bark Or Howl,5
203,American English Coonhound,Wanderlust Potential,5
204,American English Coonhound,Energy Level,5
205,American English Coonhound,Intensity,5
206,American English Coonhound,Exercise Needs,5
207,American English Coonhound,Potential For Playfulness,5
208,American Eskimo Dog,Adapts Well to Apartment Living,5
209,American Eskimo Dog,Good For Novice Owners,4
210,American Eskimo Dog,Sensitivity Level,4
211,American Eskimo Dog,Tolerates Being Alone,2
212,American Eskimo Dog,Tolerates Cold Weather,5
213,American Eskimo Dog,Tolerates Hot Weather,3
214,American Eskimo Dog,Affectionate with Family,5
215,American Eskimo Dog,Incredibly Kid Friendly Dogs,5
216,American Eskimo Dog,Dog Friendly,5
217,American Eskimo Dog,Friendly Toward Strangers,4
218,American Eskimo Dog,Amount Of Shedding,5
219,American Eskimo Dog,Drooling Potential,1
220,American Eskimo Dog,Easy To Groom,3
221,American Eskimo Dog,General Health,5
222,American Eskimo Dog,Potential For Weight Gain,4
223,American Eskimo Dog,Size,2
224,American Eskimo Dog,Easy To Train,5
225,American Eskimo Dog,Intelligence,4
226,American Eskimo Dog,Potential For Mouthiness,3
227,American Eskimo Dog,Prey Drive,3
228,American Eskimo Dog,Tendency To Bark Or Howl,4
229,American Eskimo Dog,Wanderlust Potential,3
230,American Eskimo Dog,Energy Level,5
231,American Eskimo Dog,Intensity,3
232,American Eskimo Dog,Exercise Needs,4
233,American Eskimo Dog,Potential For Playfulness,5
234,American Foxhound,Adapts Well to Apartment Living,1
235,American Foxhound,Good For Novice Owners,2
236,American Foxhound,Sensitivity Level,2
237,American Foxhound,Tolerates Being Alone,1
238,American Foxhound,Tolerates Cold Weather,4
239,American Foxhound,Tolerates Hot Weather,4
240,American Foxhound,Affectionate with Family,4
241,American Foxhound,Incredibly Kid Friendly Dogs,5
242,American Foxhound,Dog Friendly,5
243,American Foxhound,Friendly Toward Strangers,4
244,American Foxhound,Amount Of Shedding,3
245,American Foxhound,Drooling Potential,1
246,American Foxhound,Easy To Groom,5
247,American Foxhound,General Health,5
248,American Foxhound,Potential For Weight Gain,5
249,American Foxhound,Size,3
250,American Foxhound,Easy To Train,2
251,American Foxhound,Intelligence,3
252,American Foxhound,Potential For Mouthiness,3
253,American Foxhound,Prey Drive,4
254,American Foxhound,Tendency To Bark Or Howl,5
255,American Foxhound,Wanderlust Potential,5
256,American Foxhound,Energy Level,5
257,American Foxhound,Intensity,4
258,American Foxhound,Exercise Needs,5
259,American Foxhound,Potential For Playfulness,5
260,American Pit Bull Terrier,Adapts Well to Apartment Living,3
261,American Pit Bull Terrier,Good For Novice Owners,2
262,American Pit Bull Terrier,Sensitivity Level,4
263,American Pit Bull Terrier,Tolerates Being Alone,1
264,American Pit Bull Terrier,Tolerates Cold Weather,2
265,American Pit Bull Terrier,Tolerates Hot Weather,3
266,American Pit Bull Terrier,Affectionate with Family,5
267,American Pit Bull Terrier,Incredibly Kid Friendly Dogs,5
268,American Pit Bull Terrier,Dog Friendly,1
269,American Pit Bull Terrier,Friendly Toward Strangers,5
270,American Pit Bull Terrier,Amount Of Shedding,4
271,American Pit Bull Terrier,Drooling Potential,1
272,American Pit Bull Terrier,Easy To Groom,5
273,American Pit Bull Terrier,General Health,4
274,American Pit Bull Terrier,Potential For Weight Gain,3
275,American Pit Bull Terrier,Size,3
276,American Pit Bull Terrier,Easy To Train,4
277,American Pit Bull Terrier,Intelligence,4
278,American Pit Bull Terrier,Potential For Mouthiness,5
279,American Pit Bull Terrier,Prey Drive,3
280,American Pit Bull Terrier,Tendency To Bark Or Howl,3
281,American Pit Bull Terrier,Wanderlust Potential,4
282,American Pit Bull Terrier,Energy Level,4
283,American Pit Bull Terrier,Intensity,5
